"","handle","followers"
"868","TheAtlIdeas","121 221 "
"869","edmodo","121 160 "
"870","wyffnews4","120 984 "
"871","IBTimes","120 911 "
"872","dealbook","120 731 "
"873","mrdreamzmag","120 344 "
"874","KSTP","120 226 "
"875","MSN_Money","120 224 "
"876","TriathleteMag","120 009 "
"877","projo","119 992 "
"878","HealthITNews","119 948 "
"879","JTAnews","119 887 "
"880","Harpers","119 882 "
"881","WLTX","119 821 "
"882","CNNbelief","119 547 "
"883","ringernba","119 542 "
"884","HuffPostCollege","119 405 "
"885","delawareonline","119 020 "
"886","CNNInternatDesk","118 978 "
"887","SCMagazine","118 899 "
"888","connpost","118 615 "
"889","982thebeat","118 472 "
"890","newscentermaine","118 108 "
"891","readersdigest","118 081 "
"892","997now","117 899 "
"893","7Vegas","117 701 "
"894","ReutersUS","117 678 "
"895","FOX19","116 764 "
"896","ForbesLife","116 441 "
"897","DiscoveryIncTV","115 778 "
"898","gardenandgun","115 427 "
"899","talenthouse","115 191 "
"900","WEWS","114 831 "
"901","TelemundoIntl","114 478 "
"902","HousingWire","114 349 "
"903","MediaPost","113 823 "
"904","DisneyXD","113 285 "
"905","VegasMagazine","113 198 "
"906","cnsnews","112 987 "
"907","ActionNewsJax","112 585 "
"908","InformationWeek","112 363 "
"909","EconUS","112 070 "
"910","HuffPostImpact","111 952 "
"911","RepDeportiva","111 475 "
"912","attn","111 437 "
"913","Veralyn_Keach","111 339 "
"914","TBSNetwork","111 033 "
"915","ringmagazine","110 482 "
"916","cbsaustin","109 424 "
"917","HuffPostChicago","109 410 "
"918","Inside_Lacrosse","109 040 "
"919","IFC","109 019 "
"920","TheOklahoman_","108 884 "
"921","DailyFrontRow","108 375 "
"922","TVyNovelasUSA","108 215 "
"923","DeseretNews","107 617 "
"924","MTVstyle","107 412 "
"925","HPStreet","106 484 "
"926","knoxnews","106 452 "
"927","WTOL11Toledo","106 090 "
"928","Q997Atlanta","106 051 "
"929","BuzzFeedEspanol","105 980 "
"930","PoliticsNation","105 893 "
"931","The_Bark","105 696 "
"932","TheIJR","105 291 "
"933","koat7news","104 711 "
"934","WSJLogistics","104 572 "
"935","KNBR","104 133 "
"936","KPIXtv","104 032 "
"937","WTKR3","103 861 "
"938","NBCSBoston","103 798 "
"939","CBSSportsCBB","103 522 "
"940","News_8","103 481 "
"941","abc27News","103 302 "
"942","SPORTSMANchnl","103 239 "
"943","WGNTV","103 175 "
"944","Cinemax","102 445 "
"945","timesunion","102 291 "
"946","LiveHipHopRadio","101 961 "
"947","SiriusXMNFL","101 679 "
"948","WomenEnt","101 612 "
"949","8NEWS","101 499 "
"950","SoapsInDepthABC","101 387 "
"951","ksbw","101 277 "
"952","PacificStand","100 820 "
"953","afropunk","100 790 "
"954","PSFK","100 747 "
"955","975TheFanatic","100 065 "
"956","courierjournal","99 608 "
"957","cbs46","99 501 "
"958","denbizjournal","99 396 "
"959","NECN","99 327 "
"960","si_mlb","99 005 "
"961","wpri12","98 674 "
"962","NBCUniverso","98 367 "
"963","SpectrumSN","98 093 "
"964","krqe","98 047 "
"965","wvlt","98 035 "
"966","MensJournal","97 958 "
"967","WISN12News","97 784 "
"968","AmerIndependent","97 392 "
"969","lohud","96 213 "
"970","br_CBB","96 187 "
"971","Q102Philly","95 874 "
"972","ABCNews4","95 710 "
"973","957thegame","95 523 "
"974","onmilwaukee","95 210 "
"975","fwd","95 203 "
"976","dailycamera","95 192 "
"977","craft","95 032 "
"978","FUELTV","94 405 "
"979","SuperStreetMag","94 201 "
"980","GreenvilleNews","93 209 "
"981","GoogleRetail","92 951 "
"982","MusicRow","92 787 "
"983","keloland","92 646 "
"984","News12CT","92 569 "
"985","TacticalLife1","92 183 "
"986","KQED","91 692 "
"987","BallySportsNOR","91 516 "
"988","KTVB","90 976 "
"989","socialmediamos","90 952 "
"990","NBCSAuthentic","90 104 "
"991","WhatsNewsWSJ","90 083 "
"992","daytondailynews","89 800 "
"993","ObserverArts","89 661 "
"994","ESPNBoston","89 348 "
"995","FieldandStream","89 187 "
"996","FOX16News","89 141 "
"997","unifamosos","88 482 "
"998","WFMU","88 295 "
"999","FOX23","88 026 "
"1000","CommArts","87 948 "
